Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t,av_loop_gpu_t,av_loop_cpu_t,av_loop_gpu_cpu_t,av_loop_cpu_gpu_t
Naive,32,0.207964,0.199728,0.279767,0.078790,0.088621,0.040467,0.000079
Naive,64,0.204679,0.196094,0.279872,0.075589,0.088525,0.040479,0.000079
Naive,128,0.204767,0.196274,0.279928,0.075596,0.088602,0.040483,0.000079
Naive,256,0.204992,0.196413,0.280238,0.075600,0.088789,0.040518,0.000078
Naive,512,0.204842,0.196302,0.279891,0.075598,0.088640,0.040517,0.000079
Naive,1024,0.204796,0.196145,0.279851,0.075604,0.088628,0.040478,0.000079
Transpose,32,0.201096,0.193043,0.270752,0.080951,0.079555,0.040503,0.000080
Transpose,64,0.188232,0.178720,0.270944,0.068095,0.079577,0.040475,0.000078
Transpose,128,0.188259,0.178887,0.270881,0.068096,0.079587,0.040492,0.000078
Transpose,256,0.188402,0.179030,0.270958,0.068100,0.079716,0.040500,0.000078
Transpose,512,0.188504,0.178995,0.270841,0.068102,0.079760,0.040557,0.000077
Transpose,1024,0.188590,0.179087,0.271375,0.068132,0.079815,0.040556,0.000080
Shmem,32,0.205855,0.198130,0.270805,0.085631,0.079648,0.040489,0.000080
Shmem,64,0.172198,0.160530,0.271141,0.051639,0.079928,0.040544,0.000079
Shmem,128,0.156833,0.143671,0.271402,0.036405,0.079821,0.040521,0.000078
Shmem,256,0.157043,0.143780,0.270888,0.036469,0.079953,0.040536,0.000078
Shmem,512,0.157364,0.144220,0.271146,0.036860,0.079827,0.040591,0.000079
Shmem,1024,0.157733,0.144547,0.270821,0.037513,0.079665,0.040468,0.000080
